,title,price,year,link
47,vintage black marble foo dog bookends,125,,https://charlottesville.craigslist.org/atq/d/north-garden-vintage-black-marble-foo/7789029013.html
48,antique tobacco grinder,75,,https://charlottesville.craigslist.org/atq/d/north-garden-antique-tobacco-grinder/7789027747.html
49,1931 browns portrait gallery 21 of 27,100,1931.0,https://charlottesville.craigslist.org/atq/d/north-garden-1931-browns-portrait/7786109265.html
50,extremely rare 1930’s mystical hermetic crescent aquamarine brooch,250,1930.0,https://charlottesville.craigslist.org/atq/d/north-garden-extremely-rare-1930s/7786003686.html
51,rare 1960s mod moppet children 11 piece nativity,250,1960.0,https://charlottesville.craigslist.org/atq/d/north-garden-rare-1960s-mod-moppet/7786118017.html
52,mid century art lattice bowl shipping available,100,,https://charlottesville.craigslist.org/atq/d/north-garden-mid-century-art-lattice/7784753114.html
53,antique restored camelback steamer trunk,250,,https://charlottesville.craigslist.org/atq/d/north-garden-antique-restored-camelback/7784942336.html
54,plush victorian glider,125,,https://charlottesville.craigslist.org/atq/d/north-garden-plush-victorian-glider/7784941833.html
55,mcm ashtray lamp,300,,https://charlottesville.craigslist.org/atq/d/north-garden-mcm-ashtray-lamp/7785018346.html
56,antique butter churn,100,,https://charlottesville.craigslist.org/atq/d/north-garden-antique-butter-churn/7788990878.html
57,working 1963 wurlitzer model 2710 45 rpm jukebox,2100,1963.0,https://charlottesville.craigslist.org/atq/d/north-garden-working-1963-wurlitzer/7782867477.html
58,pair of vintage berman bronze & art glass deco style table lamps,125,,https://charlottesville.craigslist.org/atq/d/charlottesville-pair-of-vintage-berman/7780280799.html
59,vintage aluminum tired lunch/pie carrier,10,,https://charlottesville.craigslist.org/atq/d/palmyra-vintage-aluminum-tired-lunch/7788793309.html
60,2 nice wooden ironing boards,10,,https://charlottesville.craigslist.org/atq/d/palmyra-nice-wooden-ironing-boards/7788792134.html
61,vintage mickey mouse player,7,,https://charlottesville.craigslist.org/atq/d/palmyra-vintage-mickey-mouse-player/7788789642.html
62,antique carpenter's tool box,99,,https://charlottesville.craigslist.org/atq/d/etlan-antique-carpenters-tool-box/7788448397.html
63,antique carpenter's tool box--personalized,199,,https://charlottesville.craigslist.org/atq/d/etlan-antique-carpenters-tool-box/7788448148.html
64,fall into great toys and trains!,0,,https://charlottesville.craigslist.org/atd/d/milford-fall-into-great-toys-and-trains/7788382006.html
65,"antique solid oak 48"" table with 2 leaves",149,,https://charlottesville.craigslist.org/atq/d/palmyra-antique-solid-oak-48-table-with/7781750626.html
66,federal 2.5 gallon fire extinguisher,125,,https://charlottesville.craigslist.org/atq/d/palmyra-federal-25-gallon-fire/7781741244.html
67,"authentic ""rogers and bros."" super plate stainless  flatware",45,,https://charlottesville.craigslist.org/atq/d/keene-authentic-rogers-and-bros-super/7780970210.html
68,civil war era hand crank corn shucking by smalley mfg. wisconsin,249,,https://charlottesville.craigslist.org/atq/d/palmyra-civil-war-era-hand-crank-corn/7788241577.html
69,"gmc & chevy truck hood, primer gray",400,,https://charlottesville.craigslist.org/atq/d/hurt-gmc-chevy-truck-hood-primer-gray/7788237672.html
70,antique ct altwasser germany porcelain chocolte set,39,,https://charlottesville.craigslist.org/atq/d/keswick-antique-ct-altwasser-germany/7788189016.html
71,pair of wooden antique indian clubs,125,,https://charlottesville.craigslist.org/atq/d/montpelier-station-pair-of-wooden/7787999335.html
72,antique wooden pair of indian clubs,300,,https://charlottesville.craigslist.org/atq/d/montpelier-station-antique-wooden-pair/7787998288.html
73,john deere leaf sweeper,150,,https://charlottesville.craigslist.org/atq/d/palmyra-john-deere-leaf-sweeper/7787978599.html
74,large building sale,0,,https://charlottesville.craigslist.org/atq/d/esmont-large-building-sale/7787876013.html
75,antique throne king hall tree,650,,https://charlottesville.craigslist.org/atq/d/north-garden-antique-throne-king-hall/7778968581.html
76,mcm william fetner valet chair and desk,450,,https://charlottesville.craigslist.org/atq/d/north-garden-mcm-william-fetner-valet/7778968934.html
77,antique secretary desk,75,,https://charlottesville.craigslist.org/atq/d/charlottesville-antique-secretary-desk/7787628800.html
78,vanity/dresser,250,,https://charlottesville.craigslist.org/atq/d/charlottesville-vanity-dresser/7787626447.html
79,antique dresser and three quarter bed with mattresses and box spring,275,,https://charlottesville.craigslist.org/atq/d/charlottesville-antique-dresser-and/7787591501.html
80,colonial maple rocker,50,,https://charlottesville.craigslist.org/atq/d/charlottesville-colonial-maple-rocker/7779297549.html
81,old record players work,1,,https://charlottesville.craigslist.org/atq/d/greenwood-old-record-players-work/7787512693.html
82,vintage wash bin,20,,https://charlottesville.craigslist.org/atq/d/charlottesville-vintage-wash-bin/7787347002.html
83,antique cedar hope chest with mahogany veneer,200,,https://charlottesville.craigslist.org/atq/d/charlottesville-antique-cedar-hope/7787323048.html
84,corelle dishes 18 pieces,10,,https://charlottesville.craigslist.org/atq/d/troy-corelle-dishes-18-pieces/7786568953.html
85,arner's water pitcher and basin,100,,https://charlottesville.craigslist.org/atq/d/batesville-arners-water-pitcher-and/7787225156.html
86,player piano rolls,99,,https://charlottesville.craigslist.org/atq/d/cloverdale-player-piano-rolls/7787166966.html
87,german oak server,825,,https://charlottesville.craigslist.org/atq/d/afton-german-oak-server/7778415520.html
88,corner cupboard,300,,https://charlottesville.craigslist.org/atq/d/afton-corner-cupboard/7787148681.html
89,gorgeous antique 3-piece mcm caldwell rosewood furniture set,1500,,https://charlottesville.craigslist.org/atq/d/pratts-gorgeous-antique-piece-mcm/7786809822.html
90,rocking chair,800,,https://charlottesville.craigslist.org/atq/d/palmyra-rocking-chair/7786758744.html
91,"many antiques, primitives, collectibles.",0,,https://charlottesville.craigslist.org/atq/d/harrisonburg-many-antiques-primitives/7786667266.html
92,antique kitchen hand water pump,40,,https://charlottesville.craigslist.org/atq/d/pratts-antique-kitchen-hand-water-pump/7786234192.html
93,antique,75,,https://charlottesville.craigslist.org/atq/d/crozet-antique/7786055884.html
94,antique soda glass bottles,20,,https://charlottesville.craigslist.org/atq/d/crozet-antique-soda-glass-bottles/7786055688.html
95,china set,80,,https://charlottesville.craigslist.org/atq/d/crozet-china-set/7786055355.html
96,guinea pigs,10,,https://charlottesville.craigslist.org/atq/d/charlottesville-guinea-pigs/7786047538.html
97,antique standard sewing machine,125,,https://charlottesville.craigslist.org/atq/d/brightwood-antique-standard-sewing/7785863782.html
98,bissell proheat 2x pet pro carpet cleaner,195,,https://charlottesville.craigslist.org/atq/d/keswick-bissell-proheat-2x-pet-pro/7785856434.html
99,model cars for sale,125,,https://charlottesville.craigslist.org/atq/d/nellysford-model-cars-for-sale/7782809565.html
100,"large gargoyle cast iron statue, gothic halloween",0,,https://charlottesville.craigslist.org/atq/d/sandston-large-gargoyle-cast-iron/7785400428.html
101,antique bottle capper,40,,https://charlottesville.craigslist.org/atq/d/antique-bottle-capper/7785195338.html
102,antique toy sewing machine,50,,https://charlottesville.craigslist.org/atq/d/charlottesville-antique-toy-sewing/7785195278.html
103,raggedy andy doll - 70's,15,,https://charlottesville.craigslist.org/atq/d/charlottesville-raggedy-andy-doll-70s/7785195118.html
104,small table,50,,https://charlottesville.craigslist.org/atq/d/charlottesville-small-table/7785041768.html
105,singer spartan sewing machine,90,,https://charlottesville.craigslist.org/atq/d/quinque-singer-spartan-sewing-machine/7780718736.html
106,vintage columbia phonograph,175,,https://charlottesville.craigslist.org/atq/d/charlottesville-vintage-columbia/7784847414.html
107,beautiful antique dresser,550,,https://charlottesville.craigslist.org/atq/d/charlottesville-beautiful-antique/7784842428.html
108,ethan allen telephone bench,300,,https://charlottesville.craigslist.org/atq/d/quinque-ethan-allen-telephone-bench/7784718331.html
109,1841 feeding her favorites,250,,https://charlottesville.craigslist.org/atq/d/north-garden-1841-feeding-her-favorites/7776112789.html
110,book,1000,,https://charlottesville.craigslist.org/atq/d/charlottesville-book/7778277138.html
111,book,1000,,https://charlottesville.craigslist.org/atq/d/charlottesville-book/7778277654.html
112,book,250,,https://charlottesville.craigslist.org/atq/d/charlottesville-book/7778281998.html
113,vintage home 60's wine rack/cheese caddy,5,,https://charlottesville.craigslist.org/atq/d/troy-vintage-home-60s-wine-rack-cheese/7784390482.html
114,bone china demitasse set,10,,https://charlottesville.craigslist.org/atq/d/culpeper-bone-china-demitasse-set/7775695872.html
115,"1900s computing scale, made by ""the computing scale company"" (from old merchant ",400,1900.0,https://charlottesville.craigslist.org/atq/d/arvonia-1900s-computing-scale-made-by/7783988435.html
116,book,1300,,https://charlottesville.craigslist.org/atq/d/charlottesville-book/7778280641.html
117,book,1300,,https://charlottesville.craigslist.org/atq/d/charlottesville-book/7778281722.html
118,oil on canvas by p. wilson,1450,,https://charlottesville.craigslist.org/atq/d/charlottesville-oil-on-canvas-by-wilson/7776235053.html
119,dining room table and six chairs,150,,https://charlottesville.craigslist.org/atq/d/charlottesville-dining-room-table-and/7783869255.html
120,vintage snowshoes,55,,https://charlottesville.craigslist.org/atq/d/montpelier-station-vintage-snowshoes/7783267628.html
121,i buy all things military,10000,,https://charlottesville.craigslist.org/atq/d/keswick-buy-all-things-military/7783207950.html
122,old heavy door,25,,https://charlottesville.craigslist.org/atq/d/quinque-old-heavy-door/7782917992.html
123,vintage coleman oil heater,70,,https://charlottesville.craigslist.org/atq/d/pratts-vintage-coleman-oil-heater/7774043539.html
124,"vintage tyndale ceramic floral lamps, pair",50,,https://charlottesville.craigslist.org/atq/d/charlottesville-vintage-tyndale-ceramic/7776396754.html
125,100 gallon fuel tank,850,,https://charlottesville.craigslist.org/atq/d/keswick-100-gallon-fuel-tank/7782642251.html
126,antique authentic ships wheel,275,,https://charlottesville.craigslist.org/atq/d/culpeper-antique-authentic-ships-wheel/7773802200.html
127,solid oak antique dresser,129,,https://charlottesville.craigslist.org/atq/d/palmyra-solid-oak-antique-dresser/7778231372.html
128,antique sideboard server,175,,https://charlottesville.craigslist.org/atq/d/keene-antique-sideboard-server/7778220002.html
129,antique dry sink/wash stand,129,,https://charlottesville.craigslist.org/atq/d/palmyra-antique-dry-sink-wash-stand/7778202784.html
130,antique horse harness,49,,https://charlottesville.craigslist.org/atq/d/keene-antique-horse-harness/7776924255.html
131,antique badger fire extinguisher,75,,https://charlottesville.craigslist.org/atq/d/keene-antique-badger-fire-extinguisher/7773851073.html
132,vintage armoire walnut with burl wood front doors,300,,https://charlottesville.craigslist.org/atq/d/charlottesville-vintage-armoire-walnut/7774700196.html
133,vintage solid walnut chest of drawers w teardrop hardware and casters,500,,https://charlottesville.craigslist.org/atq/d/charlottesville-vintage-solid-walnut/7774761678.html
134,mcm samsonite folding chair set,150,,https://charlottesville.craigslist.org/atq/d/north-garden-mcm-samsonite-folding/7773458289.html
135,1903 spirited horses no 2 jos hoover,450,1903.0,https://charlottesville.craigslist.org/atq/d/north-garden-1903-spirited-horses-no/7773466448.html
136,antique cracker jack charm beanie,99,,https://charlottesville.craigslist.org/atq/d/north-garden-antique-cracker-jack-charm/7773476402.html
137,clawfoot table,95,,https://charlottesville.craigslist.org/atq/d/charlottesville-clawfoot-table/7782113207.html
138,"korean folding screen, black laquered, hand painted and inlayed",700,,https://charlottesville.craigslist.org/atq/d/faber-korean-folding-screen-black/7774491135.html
139,dinaire numbered dining chairs,176,,https://charlottesville.craigslist.org/atq/d/gordonsville-dinaire-numbered-dining/7782049455.html
140,lot of beam’s collector’s edition bottles,120,,https://charlottesville.craigslist.org/atq/d/gordonsville-lot-of-beams-collectors/7782047247.html
141,currier and ives plate -the old great mill,45,,https://charlottesville.craigslist.org/atq/d/pratts-currier-and-ives-plate-the-old/7781813960.html
142,vintage 1950's toleware metal serving trays,25,1950.0,https://charlottesville.craigslist.org/atq/d/charlottesville-vintage-1950s-toleware/7773922645.html
143,antique oriental divider,700,,https://charlottesville.craigslist.org/atq/d/leon-antique-oriental-divider/7780939231.html
144,lemon kola charlottesville va. soda bottle,20,,https://charlottesville.craigslist.org/atq/d/crozet-lemon-kola-charlottesville-va/7780845736.html
145,antique colt dueling pistols,300,,https://charlottesville.craigslist.org/atq/d/orange-antique-colt-dueling-pistols/7780757590.html
146,vintage glass punch bowl set,15,,https://charlottesville.craigslist.org/atq/d/earlysville-vintage-glass-punch-bowl-set/7771712275.html
147,two vintage ruby red dishes,15,,https://charlottesville.craigslist.org/atq/d/earlysville-two-vintage-ruby-red-dishes/7771707747.html
148,seth thomas clock ( legacy v),95,,https://charlottesville.craigslist.org/atq/d/trevilians-seth-thomas-clock-legacy/7780259292.html
149,vintage portable singer diana 560 sewing machine,155,,https://charlottesville.craigslist.org/atq/d/north-garden-vintage-portable-singer/7771701607.html
150,black velvet jesus,80,,https://charlottesville.craigslist.org/atq/d/north-garden-black-velvet-jesus/7771673518.html
151,antique french cartouche mirror,200,,https://charlottesville.craigslist.org/atq/d/north-garden-antique-french-cartouche/7771674314.html
152,vintage wine rack with glass shelves,30,,https://charlottesville.craigslist.org/atq/d/charlottesville-vintage-wine-rack-with/7771360674.html
153,mid century hybrid table,250,,https://charlottesville.craigslist.org/atq/d/north-garden-mid-century-hybrid-table/7771416061.html
154,marble columns -4 available,50,,https://charlottesville.craigslist.org/atq/d/charlottesville-marble-columns-available/7779921234.html
155,woven nepalese rug,1000,,https://charlottesville.craigslist.org/atq/d/charlottesville-woven-nepalese-rug/7779579620.html
156,antique oak roll-top desk,450,,https://charlottesville.craigslist.org/atq/d/culpeper-antique-oak-roll-top-desk/7779475407.html
157,asian apothecary cabinet,500,,https://charlottesville.craigslist.org/atq/d/ruckersville-asian-apothecary-cabinet/7779198502.html
158,antique dining room china cabinet,1500,,https://charlottesville.craigslist.org/atq/d/charlottesville-antique-dining-room/7778894988.html
159,grand rapids antique buffet,3000,,https://charlottesville.craigslist.org/atq/d/charlottesville-grand-rapids-antique/7778892487.html
160,looking for yellow yellow paint,0,,https://charlottesville.craigslist.org/atq/d/charlottesville-looking-for-yellow/7770365966.html
161,original watergate sketch betty wells,500,,https://charlottesville.craigslist.org/atq/d/north-garden-original-watergate-sketch/7769004100.html
162,antique hand tools,0,,https://charlottesville.craigslist.org/atq/d/mechanicsville-antique-hand-tools/7777974278.html
163,1966 original 1st edition corvette owners manual,125,1966.0,https://charlottesville.craigslist.org/atq/d/north-garden-1966-original-1st-edition/7768796535.html
164,antique 14k gold pink enamel seed pearl bleeding hearts brooch by krem,150,,https://charlottesville.craigslist.org/atq/d/charlottesville-antique-14k-gold-pink/7777740316.html
165,classic antique montgomery ward kitchen,900,,https://charlottesville.craigslist.org/atq/d/afton-classic-antique-montgomery-ward/7777403838.html
166,spode fine bone china “christmas rose” crafted in england,200,,https://charlottesville.craigslist.org/atq/d/quinque-spode-fine-bone-china-christmas/7777376631.html
167,large chinese vintage koi “fish bowl” porcelain planter,250,,https://charlottesville.craigslist.org/atq/d/ruckersville-large-chinese-vintage-koi/7777376528.html
168,large vintage chinese famille black jar with decorative lid with wooden stand,250,,https://charlottesville.craigslist.org/atq/d/ruckersville-large-vintage-chinese/7777376442.html
169,vintage empire manner swan motif brass clock,250,,https://charlottesville.craigslist.org/atq/d/ruckersville-vintage-empire-manner-swan/7777376318.html
170,large vintage chinese koi “fish bowl” famille black planter with wooden stan,250,,https://charlottesville.craigslist.org/atq/d/ruckersville-large-vintage-chinese-koi/7777376189.html
171,handmade crocheted doilies & table runners exc. condition - entire lot,36,,https://charlottesville.craigslist.org/atq/d/charlottesville-handmade-crocheted/7777316948.html
172,italian leather matchstick holder,10,,https://charlottesville.craigslist.org/atq/d/culpeper-italian-leather-matchstick/7768687820.html
173,italian leather matchstick holder,10,,https://charlottesville.craigslist.org/atq/d/culpeper-italian-leather-matchstick/7768688056.html
174,vintage meito china,40,,https://charlottesville.craigslist.org/atq/d/culpeper-vintage-meito-china/7768694141.html
175,vintage wedgewood jasperware cupid and cherubs collectors plate,100,,https://charlottesville.craigslist.org/atq/d/charlottesville-vintage-wedgewood/7776753720.html
